Parent Set ID,Minifig ID,Name,Qty In Set,Unit Market Price,Total Value
76255,sh0878,,1,USED,15.75,15.75
76255,sh0876,,1,NEW,18.90,18.90
76255,sh0876,,1,USED,16.18,16.18
76255,sh0873,,1,NEW,8.96,8.96
76255,sh0873,,1,USED,7.11,7.11
76255,sh0877,,1,NEW,69.39,69.39
76255,sh0877,,1,USED,60.75,60.75
76255,sh0879,,1,NEW,18.44,18.44
76255,sh0879,,1,USED,18.12,18.12
76255,sh0878,,1,NEW,16.40,16.40
76255,sh0878,,1,USED,15.75,15.75
76255,sh0876,,1,NEW,18.90,18.90
76255,sh0876,,1,USED,16.18,16.18
76255,sh0873,,1,NEW,8.96,8.96
76255,sh0873,,1,USED,7.11,7.11
40334,sh0584,,1,NEW,80.11,80.11
40334,sh0584,,1,USED,61.64,61.64
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
